Product Name,Current Price,Original Price,Image URL,Stock,item_id
Microbrush Tabung isi 100pcs/ Brush Lebih panjang - Kemasan Pack,Rp15.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/4/20/c26e1188-5cfb-47f6-8f57-bf38141a8ac6.jpg.webp?ect=4g,442,84
"Emina Brush Set - Set Kuas Make Up Sintetis, Travel-Friendly - Brush Set, Brush Set",Rp76.500,Rp93.500,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/f65e5f86640447348940605d7d6b7929~.jpeg.webp?ect=4g,Sisa 2,85
SOMETHINC Makeup Individual Brush - 010 Blending,Rp39.000,Rp43.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/15/82b2497b-2b4e-4c8c-93a8-b2606a7e558a.jpg.webp?ect=4g,864,86
Aeris Beauté The Onyx 2.0 - 15 pcs Complete Set - Onyx 2.0 (15 pcs),Rp303.200,Rp379.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/30bd0b524da949e987c043a12d42a68b~.jpeg.webp?ect=4g,39,87
SOMETHINC BROW EMBLEM Microcara Brow Gel Waterproof - Clear,Rp85.000,Rp105.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/4/1/b0a06bbc-251b-41a9-8c3b-615d59514071.jpg.webp?ect=4g,1.799,88
Emina Squeeze Me Up Browcara 8 g - Brow Mascara Creay Smudgeproof Water Resistant - Woody,Rp57.000,Rp66.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/7cbe6e69a7db4174a32eed5a8144ea64~.jpeg.webp?ect=4g,Habis,89
Luxcrime Slim Triangle Precision Brow Pencil - Ash,Rp87.400,Rp95.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/25/c95d5918-de15-4259-a2fc-5c82a74628b8.png.webp?ect=4g,"15,8 rb",90
Sea Makeup Browstage Micro Pencil 2in1 with Browstage and Spoolie - Alis Eyebrow Pensil Brown - Brown Stage,Rp42.000,Rp99.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/79628e20bfb446bfb2adf714e6d8213b~.jpeg.webp?ect=4g,8.476,91
Azarine Oh! MY BROW DEFINER 0.06gr - 01. Eyeppuccino,Rp52.000,Rp55.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/ab904adbbe5048bf96130b24d228f7ec~.jpeg.webp?ect=4g,402,92
Pinkflash Waterproof Auto Eyebrow Pencil Pinkflash Official Store Black Brown - Natural Brown,Rp16.299,Rp31.825,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/69eb241a6542444f9d0bc8f540644178~.jpeg.webp?ect=4g,70,93
O.TWO.O 3-in-1 Eyebrow Pencil Double-headed Knife & Brush Brow Sculpt - #01-GREY,Rp23.999,Rp100.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/7/9a06cbde-4250-4b51-88d7-ca191302c94e.jpg.webp?ect=4g,Habis,94
Holika Holika Brow Correcting Shaper | Eyebrow Mascara - 02 Dark Brown,Rp159.000,Rp180.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/1ab03186d6d346b5bcf3ba61707624fd~.jpeg.webp?ect=4g,83,95
Implora Day To Day Brow Pop - Taupe,Rp13.120,Rp16.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/389ee63f8dd84aefa059615661184409~.jpeg.webp?ect=4g,1.067,96
IMPLORA Wow! Brow Pomade | 24H Waterproof Matte Finish | Eyebrow Alis Lasting Pensil - Medium Brown,Rp17.677,Rp40.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/8ca24bb2c32947f994bfa598af5095d8~.jpeg.webp?ect=4g,Sisa 8,97
Eyebrow 6504 EYEBROW CREAM + KUAS WATERPROOF & LONG LASTING Alis - KUAS EYEBROW DUO,Rp3.400,Rp3.500,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/261acb98ea6642cd8a6b3b7907774a78~.jpeg.webp?ect=4g,97,98
⚡Paviola⚡ FOCALLURE Eyebrow Cream Gel Waterproof | Alis Brow - 01 AUBURN,Rp25.029,Rp51.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/2f60eb4c6d194fc6add1fe57e64b3de6~.jpeg.webp?ect=4g,204,99
FOCALLURE Waterproof Brows Gel Cream Pomade Waterproof Eyebrow Alis - #2,Rp28.359,Rp46.636,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/6e91a5781b914a86bcb76b4c09223778~.jpeg.webp?ect=4g,322,100
Madame Gie Madame Brow On Point – Make Up Eyebrow Pomade Cream Pensil Alis Waterproof - 01 Earl Grey,Rp15.000,Rp30.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/b5e5283bd9f747748bc855111f3ed823~.jpeg.webp?ect=4g,4.712,101
